Численность размещенных лиц в коллективных средствах размещения (человек);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;;;;;2012;;;;;2013;;;;;2014;;;;;2015;;;;;2016;;;;;2017;;;;;2018;;;;;2019;;;;;2020;;;;;2021;;;;;2022;;;;
;значение показателя за год;значение показателя за год;значение показателя за год;значение показателя за год;значение показателя за год;значение показателя за год;значение показателя за год;значение показателя за год;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год;январь-март;январь-июнь;январь-сентябрь;январь-декабрь;значение показателя за год
Российская Федерация;25 563 250;25 266 434;26 454 646;28 410 888;30 246 531;32 635 878;35 439 305;31 690 343;34 746 498;4 811 061;10 216 112;17 285 787;23 311 483;37 399 454;5 003 850;11 079 345;18 348 648;24 416 873;41 065 067;5 242 586;11 711 097;19 335 093;25 365 955;42 635 163;5 410 496;11 704 205;19 032 242;25 969 255;44 218 887;5 546 680;12 143 102;20 452 076;26 961 010;49 284 209;9 674 143;21 606 520;37 234 820;49 290 700;54 430 931;9 772 239;23 722 285;42 830 353;55 673 196;61 563 204;10 871 992;27 637 145;48 871 696;67 105 968;71 538 081;12 996 221;30 307 896;54 200 949;70 557 497;76 041 739;12 714 906;14 809 789;30 519 815;41 806 682;47 382 458;11 128 434;26 348 451;47 119 320;61 376 161;66 539 770;12 900 263;30 890 123;54 726 057;71 384 627;73 093 024
    Центральный федеральный округ;8 248 600;8 001 238;8 288 964;8 451 986;9 095 550;9 489 338;9 855 736;8 678 782;9 981 621;1 797 060;3 826 834;6 035 909;8 325 021;10 970 799;1 939 082;4 139 007;6 411 382;8 906 892;11 923 727;2 023 298;4 211 043;6 969 921;9 469 683;12 509 217;2 009 740;4 287 413;6 644 615;9 412 003;12 784 228;2 097 727;4 325 049;6 827 028;9 331 665;14 539 586;3 021 567;6 592 805;10 858 342;14 722 258;18 291 471;3 171 938;8 770 299;14 922 103;19 048 553;20 704 806;3 798 254;9 550 558;15 806 878;23 783 892;25 378 072;4 757 717;10 304 142;16 936 747;22 789 055;27 092 574;4 487 111;5 290 322;9 142 339;12 636 313;14 829 510;4 109 817;9 007 675;14 806 888;20 112 106;20 152 926;4 400 291;9 790 116;16 000 529;21 139 223;21 370 428
        Белгородская область;176 325;157 419;167 985;174 701;201 261;208 231;209 964;169 933;204 734;28 109;60 172;95 470;126 151;183 072;27 166;54 201;87 435;117 136;196 080;28 416;61 464;96 618;121 463;190 101;28 182;59 164;88 007;112 308;210 939;21 921;47 369;74 935;97 753;162 937;39 862;79 528;138 745;174 001;254 857;34 968;89 787;152 476;193 013;294 918;61 846;149 420;248 447;302 048;323 496;59 776;150 378;245 664;305 595;337 249;66 396;71 242;129 206;162 946;216 343;41 212;93 106;172 515;201 577;322 299;55 890;128 472;238 339;301 180;298 510
        Брянская область;120 134;115 571;109 578;114 365;109 713;103 602;157 408;116 972;136 878;22 073;43 830;77 856;96 619;120 358;18 032;39 497;74 817;110 983;141 311;18 092;39 988;60 221;83 560;133 963;17 684;45 864;65 743;79 892;133 742;13 277;29 735;43 669;57 657;153 439;14 123;53 765;81 809;152 759;182 046;38 340;93 885;153 568;201 760;210 727;44 966;72 043;121 696;190 669;235 729;37 122;103 728;204 221;260 273;234 468;32 076;34 102;84 868;115 318;141 878;35 122;102 419;185 277;221 708;209 330;28 521;91 562;174 595;219 050;230 566
        Владимирская область;307 893;298 536;300 356;311 211;444 366;475 607;605 506;376 060;491 171;29 459;65 094;114 693;148 814;518 574;28 730;68 958;130 280;175 953;549 831;20 683;44 465;89 868;120 488;516 469;40 137;82 816;122 872;148 926;503 802;33 092;61 032;96 091;120 577;623 747;77 922;222 717;407 836;561 095;665 913;136 002;373 591;571 796;639 640;645 797;137 597;318 899;567 351;675 736;645 772;137 721;311 576;588 269;641 046;703 667;128 296;170 054;246 285;287 410;365 885;124 869;286 261;386 885;473 345;598 668;122 775;311 085;511 584;656 711;672 070
        Воронежская область;211 995;210 605;185 396;211 864;265 637;236 067;245 224;256 712;234 393;21 696;56 157;113 545;161 848;278 781;42 089;118 945;136 660;180 107;378 087;24 298;82 666;138 076;191 310;336 679;31 620;88 829;141 443;190 649;383 473;40 487;84 589;139 329;194 768;523 350;77 437;175 625;268 001;414 494;601 484;94 231;201 025;361 854;469 970;656 814;127 762;196 955;349 701;669 083;676 736;155 280;293 288;462 772;658 885;709 286;151 889;166 530;274 948;338 401;501 151;130 223;262 297;426 206;516 652;780 996;115 897;308 013;584 207;764 923;823 249
        Ивановская область;132 794;132 550;142 518;145 429;147 125;157 808;192 399;138 932;174 380;38 705;78 209;125 712;164 240;199 430;22 649;51 484;81 288;106 148;227 106;29 786;62 217;96 480;128 747;199 450;34 914;77 304;118 673;152 082;230 016;31 518;62 307;98 946;129 500;228 845;62 401;130 479;201 169;256 779;226 434;52 123;124 566;205 620;272 307;249 942;55 258;115 669;192 012;269 422;248 944;53 680;103 919;167 285;237 115;263 357;63 878;66 304;122 572;158 348;142 205;53 851;115 204;178 425;238 144;221 032;54 780;147 637;235 712;303 009;294 155
        Калужская область;153 693;132 752;121 499;165 647;183 089;275 807;244 802;246 133;282 867;23 203;45 509;72 260;101 333;331 627;28 960;58 918;88 968;115 510;372 726;34 711;73 675;116 643;156 660;421 752;36 784;133 287;200 228;264 744;462 940;45 882;89 986;127 992;158 461;520 036;91 830;210 493;322 907;435 536;452 147;88 270;194 862;299 079;411 081;525 171;100 807;235 220;413 297;555 073;638 756;121 022;258 350;399 215;521 399;602 239;101 665;112 217;160 746;206 032;414 674;72 763;189 181;312 204;416 653;550 363;114 008;243 680;385 962;515 849;532 524
        Костромская область;124 547;132 924;161 046;191 732;210 791;217 572;247 754;159 980;201 539;10 675;28 416;45 573;65 432;189 975;12 367;26 951;43 093;56 126;226 389;12 456;25 686;41 301;55 226;194 851;13 410;31 402;46 914;62 241;182 490;12 166;26 629;41 862;54 560;151 560;43 165;74 514;111 997;144 910;245 190;54 012;142 495;181 692;249 405;272 037;47 974;109 607;183 141;250 718;292 444;61 943;134 468;265 031;348 672;300 566;50 965;53 987;132 831;169 770;271 673;54 036;114 389;196 181;240 903;327 786;59 335;168 524;303 898;385 552;349 493
